CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA-ORURO,JACHAJAKISASOLFESORC
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000591,2,116,60
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000601,3,120,59
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000611,4,109,69
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000621,5,119,58
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000631,6,88,37
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000641,1,119,66
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000651,2,118,63
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000661,3,119,71
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000671,4,127,59
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000681,5,134,49
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000691,6,106,61
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000701,7,24,14
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006431,1,112,60
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006441,2,99,76
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006451,3,92,74
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006461,4,117,67
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006471,5,123,56
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006481,6,121,64
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006491,7,89,83
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006501,8,114,62
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006511,9,121,67
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006521,10,119,69
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006531,11,95,71
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006541,12,100,73
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006551,13,131,51
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006561,14,114,62
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006571,15,31,18
1,Cercado,1,Oruro,2059,Oruro,89,CEMEI,4006581,1,101,77
1,Cercado,1,Oruro,2059,Oruro,89,CEMEI,4006591,2,113,72
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006601,1,115,56
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006611,2,108,79
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006621,3,116,65
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006631,4,116,57
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006641,5,101,75
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006651,6,110,73
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006661,7,117,67
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006671,8,112,66
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006681,9,109,72
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006691,10,116,74
