CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,SOMOS,UN,JACHAJAKISASOLFESORC,P.P.,AORA,NGP,PATRIA-ORURO,LIBRE,FRI,APB-SUMATE,A-UPP,PDC
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004671,19,2,12,8,34,2,5,16,13,16,1,6,6,4
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004681,20,5,16,5,45,1,9,10,15,19,2,4,8,6
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004691,21,0,2,1,9,0,2,0,5,3,0,0,3,1
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000531,1,3,3,5,36,3,7,8,12,33,0,1,21,2
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000541,2,2,4,5,26,3,6,8,4,33,2,6,4,3
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000551,3,7,7,4,37,1,1,7,7,31,2,3,8,5
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000561,4,2,13,9,27,2,4,9,12,28,2,4,7,3
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000571,5,0,3,0,5,0,1,2,1,11,0,0,0,0
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000581,1,1,7,14,50,0,5,8,24,34,2,5,5,2
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000591,2,6,8,9,29,1,5,10,18,34,2,4,9,6
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000601,3,2,7,12,35,4,3,12,14,40,0,4,5,6
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000611,4,1,7,14,29,1,6,6,25,33,0,1,3,5
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000621,5,1,9,9,34,0,3,9,13,37,3,7,6,3
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000631,6,2,8,5,22,3,0,5,14,24,0,3,4,5
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000641,1,3,8,9,37,3,3,13,16,31,1,2,6,4
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000651,2,5,8,12,31,3,3,9,13,32,5,4,3,7
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000661,3,5,14,2,27,1,4,13,18,31,3,2,3,10
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000671,4,1,10,10,29,2,6,16,21,29,1,5,2,3
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000681,5,4,9,9,28,2,5,13,18,29,2,4,10,2
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000691,6,3,6,5,35,3,2,10,20,43,2,4,7,3
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000701,7,2,0,1,8,1,0,3,3,10,0,0,0,2
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006431,1,5,9,7,30,1,4,8,18,29,1,7,8,5
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006441,2,4,8,5,35,3,3,9,16,24,4,1,11,10
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006451,3,3,8,4,36,3,7,16,14,29,0,5,6,1
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006461,4,2,18,8,31,2,6,11,23,39,3,3,6,3
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006471,5,1,12,8,36,3,3,12,17,14,1,6,1,5
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006481,6,3,12,11,37,5,2,12,21,26,4,0,7,12
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006491,7,3,13,3,19,2,7,11,20,18,6,0,10,6
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006501,8,5,6,7,35,5,9,12,24,20,4,1,9,1
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006511,9,1,11,2,27,0,2,2,11,25,1,2,8,3
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006521,10,1,15,6,51,1,3,20,19,23,2,3,8,3
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006531,11,2,10,14,23,3,4,14,19,27,1,1,8,3
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006541,12,2,11,13,38,2,5,12,17,28,1,4,4,1
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006551,13,5,8,9,34,4,6,14,21,33,3,8,5,7
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006561,14,4,5,8,26,7,6,9,13,32,7,3,7,6
1,Cercado,1,Oruro,2059,Oruro,88,Facultad Técnica,4006571,15,1,2,3,15,3,1,1,4,1,1,1,1,0
1,Cercado,1,Oruro,2059,Oruro,89,CEMEI,4006581,1,1,17,7,42,3,5,13,12,16,3,4,7,3
1,Cercado,1,Oruro,2059,Oruro,89,CEMEI,4006591,2,1,7,7,29,1,9,10,21,33,3,2,2,7
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006601,1,4,8,7,31,0,7,16,21,30,3,4,2,1
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006611,2,6,18,5,36,2,4,19,22,15,2,3,3,4
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006621,3,4,8,10,27,2,3,10,18,26,0,7,8,9
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006631,4,5,9,10,21,4,5,12,29,22,2,6,10,4
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006641,5,6,11,1,36,3,3,16,8,28,3,0,7,8
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006651,6,2,22,3,35,4,1,14,20,16,1,7,8,7
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006661,7,5,18,5,28,3,5,9,16,27,1,3,9,6
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006671,8,5,18,8,36,6,7,13,12,24,1,5,8,3
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006681,9,6,6,6,24,5,5,12,23,30,3,6,5,6
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006691,10,2,14,7,32,3,6,9,28,26,4,1,5,3
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006701,11,2,13,2,22,2,5,11,12,7,4,3,3,3
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006711,1,2,15,5,41,4,9,7,19,28,2,3,3,1
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006721,2,6,13,7,30,1,7,11,12,22,6,3,9,9
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006731,3,5,11,6,28,6,3,11,18,21,0,1,5,7
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006741,4,4,17,3,26,2,4,12,19,25,2,5,6,1
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006751,5,5,7,3,23,2,2,12,17,25,1,5,5,5
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006761,6,3,9,7,39,9,9,8,15,20,4,5,5,3
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006771,7,6,16,8,28,4,7,16,12,17,1,0,6,3
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006781,8,1,7,4,16,0,3,6,7,11,3,1,1,1
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002581,1,7,10,4,24,1,9,12,10,23,2,1,1,7
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002591,2,7,13,1,28,2,5,12,21,21,2,2,7,1
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002601,3,10,12,6,28,3,1,10,10,18,1,6,9,10
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002611,4,11,13,8,28,2,1,15,21,22,2,6,6,4
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002621,5,9,13,4,46,4,3,11,13,20,1,4,6,1
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002631,6,3,4,3,38,3,9,20,14,16,0,2,4,5
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002641,7,2,16,4,37,3,5,24,6,20,0,3,3,6
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002651,8,2,8,16,26,5,4,20,16,18,0,0,6,3
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002661,9,1,11,4,33,4,5,12,9,24,2,1,6,5
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002671,10,8,12,4,33,4,9,18,11,16,0,1,8,2
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002681,11,10,12,2,21,3,6,21,8,26,1,5,6,5
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002691,12,8,11,4,34,8,3,19,14,26,0,2,9,8
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002701,13,6,4,1,4,0,2,10,3,8,2,1,2,0
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002711,1,4,7,2,17,1,13,10,7,7,2,3,5,1
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002721,2,2,5,0,11,1,22,4,7,8,1,5,10,1
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002731,3,0,2,3,15,0,12,7,10,6,2,5,6,7
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002741,4,1,1,3,2,1,7,5,2,2,0,3,2,0
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002751,1,1,23,9,31,2,4,9,10,19,5,4,8,0
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002761,2,5,11,5,30,4,8,8,10,21,3,4,6,5
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002771,3,2,19,9,25,5,4,13,11,25,1,3,5,2
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002781,4,6,14,3,25,1,8,14,9,14,3,4,8,5
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002791,5,12,9,7,30,2,12,10,9,21,0,3,2,5
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002801,6,5,10,2,36,3,4,10,22,15,1,3,5,6
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002811,7,5,9,7,33,2,9,18,16,24,2,0,7,4
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002821,8,7,14,4,31,1,4,17,16,19,2,1,11,3
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002831,9,4,14,8,21,5,6,15,15,24,4,4,11,4
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002841,10,5,12,4,28,3,8,9,8,12,4,1,4,4
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002851,11,4,12,7,35,4,6,13,16,23,2,2,5,5
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002861,12,5,16,7,27,1,1,16,12,20,1,1,7,6
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002871,13,7,15,4,27,8,3,14,12,19,1,4,4,4
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002881,14,9,10,8,27,3,7,9,10,22,1,3,2,6
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002891,15,4,6,4,29,0,9,18,22,16,1,5,4,9
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002901,16,6,11,8,38,1,3,9,18,17,4,4,8,6
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002911,17,2,3,3,9,1,3,2,4,7,0,1,1,2
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001831,1,6,8,5,23,0,11,17,11,13,1,2,5,3
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001841,2,7,22,4,26,4,7,11,5,12,1,3,5,5
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001851,3,7,12,1,30,2,13,6,9,10,1,3,11,1
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001861,4,5,12,7,16,6,4,17,7,13,2,1,5,0
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001871,5,7,16,5,29,4,12,12,7,11,4,3,5,7
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001881,6,4,9,3,15,3,2,15,4,10,1,1,4,2
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002921,1,4,7,8,27,1,4,21,19,26,2,1,6,4
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002931,2,4,11,4,29,3,5,18,21,20,2,0,7,3
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002941,3,3,13,6,26,2,7,12,16,16,2,4,11,4
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002951,4,4,10,8,23,1,8,9,13,29,1,5,9,4
