CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS,MTS,LIBRE,XS-CH,NGP,FRI,CHR,ASOCOIN-POROMA,COKASAL,A-UPP,FUERZA,APB-SUMATE
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004857,14,39,41,5,25,7,7,6,28,,,3,20,6
1,Oropeza,1,Sucre,2794,Sucre,108,Col. Mariano Serrano,1004867,15,34,28,5,26,2,4,1,42,,,7,11,12
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008517,1,34,26,8,10,8,11,2,18,,,9,33,8
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008527,2,37,30,5,13,9,4,5,25,,,6,25,8
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008537,3,36,25,6,11,9,9,7,15,,,10,37,3
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008547,4,23,29,11,2,7,5,9,12,,,12,31,3
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008557,5,33,31,8,8,10,9,7,18,,,8,40,4
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008567,6,30,32,2,7,9,5,2,14,,,12,47,1
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008577,7,25,32,8,8,8,3,7,18,,,8,32,3
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008587,8,33,25,3,11,11,8,5,16,,,2,41,1
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008597,9,32,28,7,10,10,7,4,18,,,9,37,4
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008607,10,32,21,6,5,15,6,4,16,,,10,35,4
1,Oropeza,1,Sucre,2794,Sucre,110,Unid. Educ. Jose Clemente Maurer,1008617,11,23,17,9,5,9,3,6,12,,,6,27,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005277,1,28,27,4,17,8,13,7,21,,,16,28,9
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005287,2,31,30,11,10,7,10,3,22,,,13,26,7
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005297,3,34,23,3,12,8,6,7,18,,,11,44,9
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005307,4,43,25,2,16,6,14,6,21,,,7,21,4
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005317,5,38,35,7,14,4,9,3,20,,,15,32,4
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005327,6,27,30,8,20,5,7,8,14,,,13,20,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005337,7,30,23,7,14,6,6,4,20,,,16,37,4
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005347,8,42,32,4,18,5,9,6,22,,,9,34,8
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005357,9,36,38,2,13,8,3,4,20,,,10,35,9
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005367,10,40,34,6,16,7,4,4,14,,,9,24,6
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005377,11,44,34,4,12,4,5,3,19,,,9,28,5
