CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA,MTS,NGP,CDC,PDC,ISA,APB-SUMATE,A-UPP
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001381,4,62,5,6,61,25,2,,1
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001391,5,69,4,8,63,13,2,,3
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001401,6,56,1,3,68,22,1,,1
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001411,7,66,8,2,54,16,1,,1
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001421,8,49,6,3,72,18,4,,2
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001431,9,64,7,4,59,19,5,,1
1,Cercado,1,Tarija,2680,Tarija,4,U.E. Rosa Arce,6001441,10,30,4,5,29,4,0,,1
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000951,1,59,6,1,80,17,5,,3
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000961,2,55,8,4,66,21,2,,0
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000971,3,56,6,10,65,13,1,,1
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000981,4,50,4,7,84,16,1,,0
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6000991,5,60,10,6,85,18,2,,4
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001001,6,53,3,3,85,3,4,,2
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001011,7,52,7,7,65,16,2,,2
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001021,8,41,3,7,74,13,3,,2
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001031,9,57,9,4,61,23,3,,0
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001041,10,52,9,3,68,17,2,,2
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001051,11,67,10,3,71,7,5,,2
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001061,12,63,10,5,75,14,1,,1
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001071,13,51,10,2,72,15,3,,0
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001081,14,8,1,1,14,2,0,,0
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002071,1,43,7,10,54,22,6,,4
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002081,2,48,9,3,56,9,5,,0
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002091,3,50,9,5,55,14,1,,5
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002101,4,47,4,4,61,18,5,,2
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002111,5,59,4,4,67,27,4,,0
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002121,6,42,8,9,63,19,4,,3
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002131,7,54,9,11,51,17,3,,4
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002141,8,58,5,7,58,16,4,,3
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002151,9,40,8,3,75,20,3,,3
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002161,10,54,9,7,54,8,2,,2
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002171,11,45,6,5,55,23,1,,2
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002181,12,26,8,2,32,12,1,,1
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001451,1,61,8,2,62,21,2,,3
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001461,2,44,15,5,67,21,2,,3
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001471,3,67,5,5,67,20,2,,1
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001481,4,43,9,13,69,15,2,,2
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001491,5,50,10,7,63,11,7,,0
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001501,6,72,6,3,60,11,1,,1
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001511,7,46,7,5,56,14,2,,2
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000911,1,51,9,3,79,14,0,,2
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000921,2,75,1,1,73,13,2,,1
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000931,3,58,9,8,56,14,3,,0
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000941,4,62,2,3,63,7,2,,1
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002841,1,37,5,9,33,17,7,,8
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002851,2,23,4,5,27,21,8,,4
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002861,3,30,2,0,39,21,11,,10
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002871,4,38,4,10,31,30,8,,10
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002881,5,26,8,5,35,27,7,,5
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002891,6,27,7,13,22,20,10,,12
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002901,7,28,4,7,27,32,7,,7
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002911,8,27,6,10,39,18,9,,5
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002921,9,25,9,11,32,13,10,,8
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002931,10,39,7,8,30,15,5,,2
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002941,11,34,5,8,30,21,14,,2
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002951,12,26,5,4,36,15,9,,2
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002961,13,34,5,9,40,21,14,,4
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002971,14,42,11,3,32,8,9,,2
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002981,15,47,7,6,38,28,3,,5
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002991,16,35,9,5,35,20,8,,5
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003001,17,35,12,6,33,12,9,,4
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003011,18,29,6,5,31,25,11,,3
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003021,19,14,3,1,14,14,2,,1
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002321,1,43,10,8,43,12,4,,6
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002331,2,36,11,8,44,20,8,,0
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002341,3,39,12,4,33,17,8,,5
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002351,4,33,10,9,31,20,7,,6
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002361,5,24,12,9,40,31,6,,1
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002371,6,35,5,8,44,15,5,,3
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002381,7,47,9,9,36,22,5,,6
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002391,8,35,7,9,37,19,5,,3
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002401,9,40,8,9,41,22,7,,4
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002411,10,41,5,7,24,22,10,,4
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002421,11,47,15,8,35,17,11,,6
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002431,12,34,10,3,34,31,5,,2
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002441,13,41,13,10,21,23,6,,5
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002451,14,28,5,16,37,22,3,,6
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002461,15,34,13,5,37,28,5,,5
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002471,16,34,5,6,40,21,5,,6
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002481,17,39,6,11,49,26,8,,1
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002491,18,35,15,11,36,23,6,,1
