CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UNPA,NGP,MTS,UNIDOS-,PATRIA-UNIDOS,LIBRE,SOLUCIONES-CON-TODOS,PDC,A-UPP,UN,POKUY,FRI,APB-SUMATE,U.P.C,CREE,UNE,FAP,F-S,ARI,TU,PPS
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001527,15,,20,2,11,7,5,14,2,22,,,2,125,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001537,16,,14,5,9,8,9,22,3,23,,,2,112,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001547,17,,13,4,9,12,13,13,1,34,,,5,95,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,103,Colegio Marista Nuestra Señora Del Pilar,3001557,18,,6,1,3,2,1,6,2,6,,,0,27,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003047,1,,17,3,8,3,8,10,0,11,,,3,139,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003057,2,,18,3,4,16,16,18,1,13,,,1,117,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003067,3,,6,3,13,4,11,11,2,16,,,1,133,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003077,4,,14,3,7,11,13,9,3,21,,,3,116,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003087,5,,19,3,9,9,9,15,2,21,,,1,113,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003097,6,,16,2,7,13,10,15,1,15,,,2,126,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,104,U. E. Raymundo Herman,3003107,7,,14,3,6,15,14,23,4,18,,,3,99,,,,,,,,
