CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,DESPIERTA,MTS,PATRIA-UNIDOS,TUFE,CPEM-B,LIBRE,A-UPP,VAMOS,NGP,APB-SUMATE,MNR,AVANZAR,F.S.D.
1,Cercado,1,Trinidad,2526,Trinidad,16,(Cárcel) Cárcel Mocobi,8003707,2,3,0,7,6,4,,7,,2,,8,,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002227,1,28,1,83,11,0,,15,,2,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002237,2,34,0,68,15,1,,18,,1,,9,,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002247,3,27,3,78,12,1,,7,,3,,17,,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002257,4,35,1,62,14,0,,19,,2,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002267,5,24,3,69,21,1,,14,,5,,18,,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002277,6,23,2,71,14,1,,14,,0,,19,,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002287,7,43,1,72,9,4,,11,,4,,24,,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002297,8,22,1,57,9,3,,15,,0,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003067,1,32,5,76,13,3,,16,,2,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003077,2,25,3,63,10,3,,17,,0,,24,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003087,3,26,6,63,13,3,,10,,2,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003097,4,30,5,53,6,1,,21,,2,,13,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003107,5,22,4,68,17,5,,13,,0,,16,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003117,6,36,3,63,12,5,,16,,1,,20,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003127,7,31,5,66,9,2,,28,,1,,13,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003137,8,20,11,57,12,3,,16,,2,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003147,9,29,3,47,20,8,,11,,3,,18,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003157,10,19,4,52,20,7,,22,,5,,9,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003167,11,29,1,77,9,5,,18,,4,,18,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003177,12,23,5,66,11,9,,24,,2,,17,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003187,13,37,1,70,12,3,,25,,3,,12,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003197,14,28,4,75,8,4,,14,,1,,13,,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003207,15,7,2,26,5,1,,4,,2,,4,,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001107,1,19,8,60,18,7,,16,,6,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001117,2,32,8,61,13,5,,14,,5,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001127,3,17,12,40,12,4,,25,,3,,21,,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001137,4,18,8,52,15,2,,36,,2,,14,,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001147,5,25,8,42,18,2,,13,,5,,23,,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001157,6,23,15,55,16,4,,17,,3,,9,,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001167,7,12,5,41,23,4,,27,,2,,17,,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001177,8,23,12,46,13,2,,18,,6,,13,,
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001187,9,32,10,48,14,1,,18,,4,,28,,
