CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,TUFE,A-UPP,MTS,MNR,DESPIERTA,CPEM-B,PATRIA-UNIDOS,NGP
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001892,2,25,10,4,20,23,4,91,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001902,3,19,10,7,24,18,4,77,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001912,4,20,16,5,22,22,2,82,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001922,5,30,73,8,15,22,3,9,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001932,6,24,6,5,21,37,2,75,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001942,7,28,13,3,21,25,3,78,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001952,8,26,14,7,33,27,2,59,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001962,9,32,6,4,20,30,1,60,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001972,10,23,10,7,18,14,2,67,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001982,11,25,12,2,34,27,0,72,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001992,12,23,6,9,15,25,2,72,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8002002,13,17,4,2,17,30,0,72,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003292,1,21,10,2,18,31,3,85,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003302,2,28,14,7,23,23,1,65,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003312,3,19,6,8,19,19,3,82,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003322,4,10,10,10,28,21,2,73,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003332,5,20,21,8,25,19,5,76,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003342,6,22,11,5,23,17,1,85,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003352,7,18,8,6,26,22,2,89,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003362,8,16,13,3,25,23,2,84,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003372,9,15,7,11,26,17,2,87,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003382,10,13,8,6,19,29,5,87,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003392,11,22,16,6,19,28,2,74,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003402,12,13,11,8,21,24,3,80,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003412,13,2,0,0,2,3,0,14,
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002522,1,15,22,5,19,37,2,79,
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002532,2,16,18,10,30,22,3,75,
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002542,3,29,14,4,13,33,3,66,
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002552,4,25,11,5,14,22,4,82,
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002562,5,22,9,7,21,25,2,81,
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002572,6,13,14,1,5,19,0,32,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000672,1,27,13,7,21,12,5,64,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000682,2,28,12,6,30,27,6,52,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000692,3,23,8,11,25,19,3,66,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000702,4,15,16,19,27,22,2,57,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000712,5,22,9,10,24,19,0,57,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000722,6,22,9,11,21,20,3,64,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000732,7,22,10,12,37,18,5,50,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000742,8,18,16,12,27,16,4,50,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000752,9,21,4,8,28,9,1,64,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000762,10,17,5,5,32,16,3,56,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000772,11,19,11,9,29,12,1,67,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000782,12,28,14,12,22,23,6,62,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000792,13,28,12,8,28,15,4,74,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000802,14,17,12,10,32,24,4,59,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000812,15,22,7,9,26,17,5,56,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000822,16,26,4,9,23,24,3,57,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000832,17,10,5,10,18,12,3,27,
1,Cercado,1,Trinidad,2526,Trinidad,16,(Cárcel) Cárcel Mocobi,8003692,1,7,8,13,20,3,5,45,
1,Cercado,1,Trinidad,2526,Trinidad,16,(Cárcel) Cárcel Mocobi,8003702,2,4,4,3,9,0,4,20,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002222,1,21,9,3,19,19,1,95,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002232,2,17,11,4,19,29,0,86,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002242,3,19,6,3,22,29,1,84,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002252,4,23,11,5,23,30,1,69,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002262,5,18,19,5,34,25,0,77,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002272,6,21,10,5,28,22,1,76,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002282,7,18,13,2,23,37,0,82,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002292,8,21,9,3,17,20,2,67,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003062,1,19,5,5,23,29,4,92,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003072,2,23,9,2,39,25,2,70,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003082,3,20,9,6,21,25,3,72,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003092,4,24,11,3,25,22,3,64,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003102,5,24,9,7,26,22,3,77,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003112,6,18,9,4,33,37,4,72,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003122,7,19,13,1,30,28,2,83,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003132,8,21,6,12,17,22,3,76,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003142,9,40,7,6,22,27,5,63,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003152,10,25,9,8,27,21,4,66,
