CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005481,22,105,60
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005491,23,93,78
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005501,24,78,84
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005511,25,43,52
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003191,1,123,75
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003201,2,102,75
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003211,3,132,59
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003221,4,124,62
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003231,5,114,75
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003241,6,53,25
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000961,1,113,87
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000971,2,99,80
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000981,3,104,81
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000991,4,126,75
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001001,5,109,72
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001011,6,107,79
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001021,7,104,83
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001031,8,108,72
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001041,9,121,80
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001051,10,105,90
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001061,11,116,75
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001071,12,100,74
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001081,13,15,9
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009501,1,86,105
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009511,2,81,92
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009521,3,109,85
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009531,4,81,110
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009541,5,96,105
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009551,6,83,101
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009561,7,100,79
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009571,8,92,93
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009581,9,76,92
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004331,1,114,64
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004341,2,125,64
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004351,3,125,66
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004361,4,107,86
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004371,5,108,74
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004381,6,106,77
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004391,7,127,68
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004401,8,110,72
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004411,9,127,80
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004421,10,100,70
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004431,11,115,72
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004441,12,109,78
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004451,13,116,64
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004461,14,118,71
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004471,15,102,84
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004481,16,115,74
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004491,17,27,20
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003751,1,98,81
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003761,2,100,87
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003771,3,111,63
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003781,4,110,77
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003791,5,90,77
