CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DEMOCRATAS,PDC,ISA,CDC,T,UNIR,PATRIA,AIR,NGP,SOMOSCHACO,MATE,APB-SUMATE,A-UPP,FAU,CCGT
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000587,4,14,0,14,6,,80,0,30,,2,,,,5,,
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000597,5,23,0,14,4,,58,0,52,,2,,,,7,,
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000607,6,15,0,18,5,,62,0,51,,4,,,,7,,
1,Cercado,1,Tarija,1883,San Andrés,1,U.E. San Andres,6000617,7,16,0,13,5,,63,0,55,,6,,,,1,,
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000627,1,25,0,5,6,,48,0,23,,5,,,,12,,
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000637,2,18,0,8,5,,47,0,39,,2,,,,5,,
1,Cercado,1,Tarija,1884,Bella Vista,1,U.E. Bella Vista,6000647,3,0,0,2,2,,9,0,2,,0,,,,1,,
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000657,1,3,0,14,7,,51,0,43,,10,,,,2,,
1,Cercado,1,Tarija,1885,Pinos Sud,1,U.E. Pinos Sud,6000667,2,4,0,9,2,,42,0,26,,4,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000827,1,2,0,9,1,,95,0,68,,3,,,,0,,
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000837,2,3,0,14,1,,88,0,80,,0,,,,0,,
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000847,3,2,0,13,0,,81,0,84,,3,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000857,4,3,0,18,8,,87,0,70,,1,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000867,5,4,0,11,3,,82,0,75,,4,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000877,6,3,0,17,1,,90,0,71,,1,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000887,7,3,0,17,5,,109,0,55,,0,,,,3,,
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000897,8,2,0,14,2,,98,0,74,,0,,,,0,,
1,Cercado,1,Tarija,2680,Tarija,1,U.E. Nacional San Luis,6000907,9,2,0,9,1,,67,0,39,,0,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001207,1,1,0,14,5,,106,0,63,,0,,,,4,,
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001217,2,1,0,12,1,,104,0,47,,0,,,,1,,
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001227,3,4,0,16,2,,108,0,62,,0,,,,0,,
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001237,4,3,0,14,3,,126,0,46,,0,,,,2,,
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001247,5,7,0,22,2,,90,0,63,,0,,,,5,,
1,Cercado,1,Tarija,2680,Tarija,2,U.E. Maria Laura Justiniano,6001257,6,3,0,14,1,,102,0,72,,0,,,,2,,
