CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MNR,PATRIA-UNIDOS
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000691,3,88,89
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000701,4,79,96
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000711,5,65,102
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000721,6,70,90
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000731,7,78,89
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000741,8,98,80
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000751,9,82,96
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000761,10,84,99
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000771,11,71,100
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000781,12,90,86
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000791,13,85,104
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000801,14,102,85
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000811,15,87,94
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000821,16,91,77
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000831,17,55,48
1,Cercado,1,Trinidad,2526,Trinidad,16,(Cárcel) Cárcel Mocobi,8003691,1,56,107
1,Cercado,1,Trinidad,2526,Trinidad,16,(Cárcel) Cárcel Mocobi,8003701,2,33,32
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002221,1,62,116
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002231,2,59,109
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002241,3,64,115
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002251,4,63,126
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002261,5,73,117
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002271,6,74,95
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002281,7,57,118
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002291,8,47,95
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003061,1,85,117
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003071,2,94,98
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003081,3,74,112
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003091,4,84,89
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003101,5,69,118
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003111,6,63,117
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003121,7,85,112
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003131,8,86,107
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003141,9,74,110
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003151,10,91,96
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003161,11,80,121
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003171,12,77,119
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003181,13,74,122
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003191,14,66,119
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003201,15,25,47
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001101,1,80,97
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001111,2,79,107
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001121,3,87,97
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001131,4,69,87
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001141,5,88,96
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001151,6,94,87
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001161,7,87,97
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001171,8,90,89
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001181,9,83,101
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001191,10,80,121
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001201,11,83,110
1,Cercado,1,Trinidad,2526,Trinidad,20,U.E. Corina Hurtado De,8001211,12,77,70
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002301,1,68,125
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002311,2,67,118
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002321,3,64,117
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002331,4,73,106
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002341,5,68,118
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002351,6,62,115
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002361,7,68,107
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002371,8,71,107
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002381,9,65,111
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002391,10,50,82
