CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA,CDC
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001011,7,64,122
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001021,8,49,129
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001031,9,62,120
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001041,10,62,131
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001051,11,74,121
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001061,12,68,142
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001071,13,52,143
1,Cercado,1,Tarija,2680,Tarija,5,U.E. San Roque,6001081,14,13,18
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002071,1,56,138
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002081,2,67,130
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002091,3,60,133
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002101,4,51,133
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002111,5,60,134
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002121,6,50,150
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002131,7,75,126
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002141,8,67,125
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002151,9,62,138
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002161,10,66,129
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002171,11,54,126
1,Cercado,1,Tarija,2680,Tarija,6,U.E. Avelina Raña,6002181,12,20,94
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001451,1,63,136
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001461,2,52,141
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001471,3,64,128
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001481,4,73,133
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001491,5,71,124
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001501,6,63,136
1,Cercado,1,Tarija,2680,Tarija,8,U.E. Carmen Echazu,6001511,7,50,97
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000911,1,62,128
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000921,2,81,121
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000931,3,79,114
1,Cercado,1,Tarija,2680,Tarija,56,U.E. Narciso Campero,6000941,4,59,100
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002841,1,40,147
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002851,2,41,131
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002861,3,40,127
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002871,4,52,118
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002881,5,38,135
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002891,6,50,135
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002901,7,34,144
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002911,8,43,130
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002921,9,44,136
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002931,10,45,145
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002941,11,34,141
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002951,12,31,135
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002961,13,38,143
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002971,14,42,145
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002981,15,61,128
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6002991,16,43,123
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003001,17,46,143
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003011,18,42,137
1,Cercado,1,Tarija,2680,Tarija,67,U.E. Hermann Gmeiner,6003021,19,18,64
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002321,1,52,127
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002331,2,39,137
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002341,3,43,130
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002351,4,44,116
1,Cercado,1,Tarija,2680,Tarija,68,U.E. Ignacia Nazaria March,6002361,5,35,144
