CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,TUFE,A-UPP,MTS,MNR,DESPIERTA,CPEM-B,PATRIA-UNIDOS,NGP
1,Cercado,1,Trinidad,2526,Trinidad,24,U.E. Nuestra Señora de Fátima,8002392,10,14,5,3,7,16,2,64,4
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002662,1,20,9,7,17,25,1,47,3
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002672,2,12,9,4,23,27,2,43,1
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002682,3,15,17,7,30,15,3,39,1
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002692,4,19,10,3,21,14,2,42,4
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002702,5,13,9,7,19,17,2,47,1
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002712,6,18,9,6,14,14,2,52,2
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002722,7,13,5,5,29,20,1,48,0
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002732,8,24,7,4,23,19,2,47,1
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002742,9,13,8,6,19,17,1,46,2
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002752,10,16,13,6,15,18,4,43,2
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002762,11,17,8,6,23,18,0,62,1
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002772,12,19,10,2,16,24,6,48,1
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002782,13,15,7,8,11,18,3,50,3
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002792,14,11,5,2,15,17,5,45,2
1,Cercado,1,Trinidad,2526,Trinidad,26,U.E.  Nueva Trinidad,8002802,15,9,13,6,14,12,3,49,1
