CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,SOMOS,JACHAJAKISASOLFESORC,AORA,PATRIA-ORURO,A-UPP,NGP,LIBRE,PDC,UN,APB-SUMATE,P.P.,FRI
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003891,2,7,11,31,11,10,5,22,28,,1,7,,
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003901,3,7,21,29,6,8,1,25,41,,1,9,,
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003911,4,4,19,43,6,12,5,26,31,,3,3,,
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003921,5,1,22,38,14,19,10,17,22,,3,7,,
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003931,6,6,18,36,10,14,6,22,37,,3,11,,
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003941,7,3,11,29,10,9,6,27,36,,1,14,,
1,Cercado,1,Oruro,2059,Oruro,83,U. Esc. Kantuta,4003951,8,3,21,34,7,16,8,25,42,,4,8,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004491,1,2,18,25,9,11,10,17,27,,2,8,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004501,2,5,15,35,12,11,9,14,29,,5,8,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004511,3,7,11,40,8,8,8,15,21,,7,6,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004521,4,10,15,38,12,13,12,14,21,,5,8,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004531,5,6,21,40,10,14,13,22,19,,5,5,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004541,6,8,20,36,8,6,2,25,20,,4,9,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004551,7,4,6,32,9,18,12,16,22,,3,9,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004561,8,5,22,28,12,13,7,13,23,,4,8,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004571,9,5,18,35,8,14,9,17,22,,5,7,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004581,10,3,17,34,13,16,6,2,22,,3,6,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004591,11,2,18,34,10,9,13,17,11,,4,5,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004601,12,5,15,21,16,11,12,18,28,,2,8,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004611,13,5,14,30,6,18,10,24,22,,5,7,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004621,14,4,13,31,13,8,11,16,26,,7,7,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004631,15,7,14,38,5,14,9,14,21,,0,11,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004641,16,8,17,41,18,11,11,19,23,,4,7,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004651,17,1,14,39,8,19,10,15,21,,1,8,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004661,18,4,12,35,11,16,8,14,18,,8,9,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004671,19,3,14,35,10,10,9,16,22,,9,11,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004681,20,9,19,35,15,16,10,11,29,,8,11,,
1,Cercado,1,Oruro,2059,Oruro,84,U.E. Huajara,4004691,21,1,5,7,4,4,4,0,4,,1,2,,
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000531,1,2,12,34,8,8,27,8,41,,3,9,,
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000541,2,3,5,37,11,5,3,10,32,,3,8,,
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000551,3,6,7,38,3,13,16,8,31,,5,10,,
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000561,4,0,12,30,4,13,12,8,42,,11,11,,
1,Cercado,1,Oruro,2059,Oruro,85,Liceo Antofagasta,4000571,5,0,1,4,0,1,0,3,16,,0,1,,
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000581,1,2,9,38,7,23,16,7,47,,9,10,,
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000591,2,6,12,26,6,22,7,11,51,,7,9,,
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000601,3,3,14,35,3,15,6,12,53,,11,10,,
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000611,4,1,7,28,3,25,4,6,50,,13,8,,
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000621,5,1,15,27,2,14,7,9,34,,13,15,,
1,Cercado,1,Oruro,2059,Oruro,86,Colegio Jesus Maria Fe y Alegria,4000631,6,1,6,21,2,14,3,5,42,,5,7,,
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000641,1,3,9,44,5,17,7,11,42,,8,7,,
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000651,2,2,9,31,5,9,5,7,34,,11,15,,
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000661,3,5,16,27,8,20,3,11,44,,6,10,,
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000671,4,0,17,25,5,15,9,17,44,,11,10,,
1,Cercado,1,Oruro,2059,Oruro,87,Col. Aniceto Arce,4000681,5,6,10,27,6,21,10,14,43,,7,5,,
