CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,PATRIA-UNIDOS,A.S.,MNR,NGP,APP,LIBRE,DEMOCRATAS,A-UPP,APB-SUMATE,UN,CAOP,PDC
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001391,3,1,33,97,2,4,23,1,0,4,1,2,7,1
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001401,4,1,43,77,4,6,27,2,0,4,4,1,3,6
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001411,5,2,41,97,1,1,24,0,0,3,1,1,1,4
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001421,6,3,48,70,4,2,40,2,0,1,3,1,4,3
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001431,7,0,39,75,3,2,30,3,2,5,2,0,3,2
1,Tomás Frías,1,Potosí,1494,Potosí,20,Esc. Jaime Mendoza,5001441,8,1,34,91,7,3,25,1,0,4,4,1,4,3
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002491,1,0,40,95,1,4,39,3,0,2,1,0,4,0
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002501,2,2,38,106,2,2,39,2,2,1,1,1,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002511,3,1,43,87,2,3,31,3,0,3,2,2,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002521,4,2,51,87,1,1,43,1,0,1,4,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002531,5,3,44,94,1,0,40,3,1,1,2,1,3,0
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002541,6,3,37,100,4,0,36,1,3,3,3,0,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002551,7,0,39,101,2,1,42,3,0,2,2,0,1,1
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002561,8,2,45,105,0,3,27,1,1,3,2,0,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002571,9,1,30,94,2,2,34,4,2,6,0,0,0,1
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002581,10,0,34,101,5,3,43,2,2,2,0,0,0,0
1,Tomás Frías,1,Potosí,1494,Potosí,21,Esc. Daniel Campos,5002591,11,2,41,95,2,0,37,1,1,7,5,0,0,2
