CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,DESPIERTA,PATRIA-UNIDOS,TUFE,MNR,NGP,CPEM-B,A-UPP
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002202,5,9,33,93,20,,2,0,
1,Cercado,1,Trinidad,2526,Trinidad,9,U.E. J. Lorenzo Campero,8002212,6,11,20,81,18,,2,6,
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002462,1,9,30,36,10,,2,1,
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002472,2,12,30,81,17,,1,1,
1,Cercado,1,Trinidad,2526,Trinidad,10,U.E. Hormando Ortiz Chávez,8002482,3,10,18,77,18,,0,2,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001882,1,10,19,99,17,,6,1,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001892,2,8,18,105,25,,3,4,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001902,3,13,16,87,14,,3,8,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001912,4,15,18,96,22,,2,1,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001922,5,11,22,82,27,,5,4,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001932,6,12,24,87,22,,2,6,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001942,7,7,28,94,22,,5,1,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001952,8,16,28,67,23,,3,4,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001962,9,12,23,67,27,,2,2,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001972,10,13,13,68,29,,0,1,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001982,11,12,21,78,27,,0,0,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8001992,12,17,21,75,23,,1,3,
1,Cercado,1,Trinidad,2526,Trinidad,11,U.E. San Vicente,8002002,13,4,28,81,19,,0,0,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003292,1,15,28,86,15,,3,3,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003302,2,20,22,72,26,,3,2,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003312,3,15,19,92,10,,2,4,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003322,4,14,16,84,13,,5,1,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003332,5,23,12,80,26,,5,8,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003342,6,17,13,92,22,,3,2,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003352,7,12,18,102,22,,1,2,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003362,8,20,21,86,15,,1,3,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003372,9,12,15,97,17,,3,2,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003382,10,0,19,99,12,,3,6,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003392,11,20,20,73,22,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003402,12,11,19,86,15,,6,3,
1,Cercado,1,Trinidad,2526,Trinidad,13,U.E.  Emilio Campos Pedriel,8003412,13,2,2,16,1,,0,0,
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002522,1,17,22,98,19,,2,1,
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002532,2,16,20,82,20,,6,2,
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002542,3,10,25,81,31,,1,4,
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002552,4,9,23,89,28,,0,2,
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002562,5,15,19,83,26,,1,2,
1,Cercado,1,Trinidad,2526,Trinidad,14,U.E. J.Azurduy De Padilla,8002572,6,10,14,44,13,,0,0,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000672,1,14,13,65,30,,1,5,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000682,2,14,24,57,26,,3,8,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000692,3,17,20,66,25,,1,0,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000702,4,14,17,56,20,,2,3,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000712,5,21,17,63,19,,1,1,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000722,6,16,23,62,25,,3,2,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000732,7,13,15,59,25,,2,4,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000742,8,15,19,51,20,,9,3,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000752,9,13,12,74,21,,2,0,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000762,10,14,18,57,13,,2,5,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000772,11,9,9,71,17,,2,8,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000782,12,20,22,64,27,,2,5,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000792,13,17,13,75,33,,5,4,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000802,14,12,22,67,18,,4,3,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000812,15,15,14,62,21,,0,5,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000822,16,14,24,51,19,,2,2,
1,Cercado,1,Trinidad,2526,Trinidad,15,U.E. 4 De  Febrero,8000832,17,10,11,28,15,,4,3,
1,Cercado,1,Trinidad,2526,Trinidad,16,(Cárcel) Cárcel Mocobi,8003692,1,7,3,45,7,,5,4,
1,Cercado,1,Trinidad,2526,Trinidad,16,(Cárcel) Cárcel Mocobi,8003702,2,3,0,22,6,,3,4,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002222,1,8,10,106,22,,1,4,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002232,2,14,19,99,18,,3,2,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002242,3,9,21,98,17,,2,1,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002252,4,14,32,75,22,,0,2,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002262,5,17,18,88,21,,3,1,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002272,6,11,18,85,21,,1,5,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002282,7,9,30,98,14,,3,1,
1,Cercado,1,Trinidad,2526,Trinidad,18,U.E. La Salle,8002292,8,7,18,73,21,,0,3,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003062,1,15,22,101,21,,1,3,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003072,2,13,21,80,24,,0,1,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003082,3,10,24,75,25,,3,2,
1,Cercado,1,Trinidad,2526,Trinidad,19,U.E. Mary Ribera G.,8003092,4,10,19,79,18,,3,4,
