CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA-UNIDOS,MTS,A.S.,APP,DEMOCRATAS,A-UPP,PDC,UN,CAOP,APB-SUMATE,LIBRE,NGP,CAOCH,CONACH-W,CSUTOAPCH,A-P,ASCAP,JAP,S-P,MNR,POR
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005327,5,39,29,22,5,0,3,3,3,1,15,5,19,,,,,6,7,17,27,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005337,6,16,32,22,3,0,0,1,6,1,27,10,20,,,,,4,10,22,23,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005347,7,24,40,22,4,1,0,1,7,3,11,3,27,,,,,7,8,13,20,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005357,8,22,28,25,6,1,1,2,2,1,20,12,22,,,,,5,14,16,28,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005367,9,21,33,19,4,1,0,0,5,0,13,11,32,,,,,4,17,18,21,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005377,10,21,32,20,6,0,2,1,9,6,22,7,25,,,,,4,9,22,19,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005387,11,27,27,17,2,0,3,6,5,4,16,8,26,,,,,6,11,12,34,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005397,12,25,29,20,12,1,0,4,3,4,16,8,16,,,,,5,14,11,38,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005407,13,25,27,20,8,0,0,6,2,2,17,6,33,,,,,8,7,13,24,
1,Tomás Frías,1,Potosí,1494,Potosí,29,Fe y Alegría y San Clemente,5005417,14,24,32,18,4,1,7,2,6,0,17,5,24,,,,,6,14,14,34,
