CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AORA,MTS,JACHAJAKISASOLFESORC,PDC,A-UPP,P.P.,NGP,LIBRE,SOMOS,JACHA MARKA T.C.A.,PATRIA-ORURO,S.A.M. CHALLAPATA,APB-SUMATE,SUMA,UQ,IOTAYAQUIRAMD,FRI,LEAL,UN,MCSFA
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006607,1,0,6,38,0,7,1,49,22,17,,16,,0,,,,3,6,11,11
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006617,2,3,13,48,1,5,2,56,8,18,,18,,0,,,,3,8,7,7
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006627,3,8,4,33,2,9,1,50,4,17,,22,,0,,,,1,7,7,14
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006637,4,1,7,36,1,8,3,58,6,19,,29,,0,,,,1,6,6,11
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006647,5,5,9,46,1,7,2,48,13,17,,7,,0,,,,0,9,3,13
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006657,6,2,13,33,1,11,4,54,3,17,,16,,0,,,,1,10,4,22
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006667,7,2,4,41,0,7,7,53,15,15,,16,,0,,,,0,14,4,15
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006677,8,5,17,42,2,6,0,65,5,17,,12,,0,,,,1,6,6,16
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006687,9,4,11,30,1,4,7,61,9,15,,18,,0,,,,3,14,3,13
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006697,10,3,10,43,3,10,1,46,6,13,,26,,0,,,,1,5,9,7
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006707,11,3,4,27,1,8,3,34,4,9,,10,,0,,,,1,1,7,13
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006717,1,6,5,58,0,9,0,41,10,22,,19,,0,,,,0,7,7,10
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006727,2,1,16,36,1,9,2,49,10,16,,17,,0,,,,1,12,4,14
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006737,3,3,8,32,1,7,3,54,11,12,,27,,0,,,,2,8,8,17
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006747,4,5,7,45,1,5,5,46,13,18,,11,,0,,,,0,9,7,16
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006757,5,3,6,31,0,10,1,53,11,12,,18,,0,,,,2,13,7,4
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006767,6,6,7,58,1,10,4,32,10,17,,12,,0,,,,0,7,12,17
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006777,7,8,9,38,1,7,1,48,7,15,,20,,0,,,,0,13,2,15
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006787,8,3,5,18,0,1,1,19,8,4,,12,,0,,,,0,6,7,6
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002587,1,7,17,42,3,5,3,45,9,13,,11,,0,,,,0,12,4,8
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002597,2,6,17,36,2,7,5,38,9,21,,16,,0,,,,0,11,7,4
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002607,3,4,12,37,0,4,1,57,8,11,,5,,0,,,,0,15,11,9
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002617,4,3,23,43,0,6,0,54,7,22,,11,,0,,,,1,10,4,9
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002627,5,6,20,41,1,3,2,56,12,16,,11,,0,,,,0,8,3,6
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002637,6,8,13,44,3,11,0,64,4,8,,13,,0,,,,1,6,3,14
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002647,7,7,8,38,1,6,3,59,10,16,,8,,0,,,,0,9,5,12
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002657,8,7,13,38,0,9,5,54,6,14,,16,,0,,,,0,6,13,6
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002667,9,6,10,33,1,8,3,62,12,20,,5,,0,,,,3,5,7,10
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002677,10,9,14,28,1,14,0,57,8,13,,9,,0,,,,2,6,4,12
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002687,11,7,18,20,4,11,2,64,8,14,,5,,0,,,,2,9,1,5
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002697,12,3,13,35,1,8,2,61,11,19,,8,,0,,,,4,13,4,4
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002707,13,0,5,8,0,3,0,22,4,5,,2,,0,,,,0,1,0,2
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002717,1,23,14,2,0,12,5,34,1,17,,3,,0,,,,6,11,5,5
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002727,2,19,8,18,0,15,1,33,5,4,,11,,0,,,,8,9,2,2
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002737,3,13,11,23,4,6,0,31,8,2,,9,,0,,,,8,8,3,2
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002747,4,6,2,4,2,2,0,10,3,1,,5,,0,,,,4,8,1,0
