CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,PATRIA-UNIDOS,MTS,LIBRE,XS-CH,FRI,CHR,NGP,ASOCOIN-POROMA,COKASAL,A-UPP,FUERZA,APB-SUMATE
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005317,5,30,24,4,14,2,4,8,5,,,11,23,2
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005327,6,20,20,2,14,4,7,10,8,,,8,16,3
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005337,7,23,15,7,19,2,3,15,6,,,5,26,9
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005347,8,35,33,2,17,6,5,8,6,,,6,22,4
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005357,9,33,28,2,15,5,5,15,2,,,8,20,3
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005367,10,31,30,3,11,9,2,7,5,,,3,18,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005377,11,38,27,4,13,4,7,12,6,,,10,13,2
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005387,12,16,21,3,13,5,4,17,14,,,9,21,3
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005397,13,28,29,4,9,4,5,11,7,,,5,16,7
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005407,14,27,22,4,16,4,6,3,13,,,6,15,4
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005417,15,35,25,2,12,4,6,8,6,,,3,24,4
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005427,16,26,31,4,22,2,6,12,10,,,4,14,13
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005437,17,24,31,4,13,5,10,5,1,,,5,19,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005447,18,22,22,8,20,4,8,9,3,,,6,22,9
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005457,19,22,25,5,16,2,2,10,4,,,8,24,2
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005467,20,26,23,3,23,4,8,5,13,,,4,17,7
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005477,21,27,28,5,19,5,7,8,5,,,7,25,2
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005487,22,32,24,7,11,4,4,6,8,,,3,11,4
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005497,23,33,29,5,20,2,5,17,4,,,5,13,8
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005507,24,13,24,6,11,3,7,14,9,,,8,18,5
1,Oropeza,1,Sucre,2794,Sucre,111,Esc. Roberto Alvarado,1005517,25,9,11,1,11,1,3,5,3,,,4,9,5
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003197,1,36,43,3,20,5,3,20,7,,,2,9,8
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003207,2,40,34,3,22,6,1,12,10,,,2,28,7
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003217,3,41,33,4,20,1,9,18,8,,,7,22,12
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003227,4,38,35,2,22,1,8,21,5,,,6,20,6
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003237,5,36,34,1,17,2,6,11,4,,,3,23,14
1,Oropeza,1,Sucre,2794,Sucre,113,Esc. Benjamin Guzman,1003247,6,15,16,2,9,1,4,5,4,,,2,6,3
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000967,1,30,43,4,19,4,5,8,7,,,8,17,6
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000977,2,30,36,1,15,5,5,17,3,,,8,9,10
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000987,3,36,27,5,18,5,7,11,3,,,8,15,10
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1000997,4,35,16,3,29,6,9,16,9,,,5,17,11
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001007,5,38,28,3,14,11,7,8,2,,,7,21,3
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001017,6,35,24,4,24,8,11,11,8,,,4,13,11
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001027,7,31,39,7,18,1,9,18,8,,,5,14,9
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001037,8,30,30,7,31,1,6,16,5,,,6,16,13
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001047,9,39,27,0,24,6,10,8,11,,,10,17,8
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001057,10,30,25,4,22,5,2,13,7,,,1,20,11
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001067,11,47,29,4,20,2,8,6,5,,,1,21,5
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001077,12,35,21,6,17,9,5,14,5,,,9,10,6
1,Oropeza,1,Sucre,2794,Sucre,115,Esc. La Recoleta,1001087,13,5,3,3,1,1,0,3,1,,,0,2,1
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009507,1,28,39,5,17,6,9,13,6,,,2,9,5
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009517,2,16,31,1,10,9,2,11,4,,,9,9,1
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009527,3,27,33,4,6,4,9,12,5,,,4,17,1
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009537,4,27,27,3,13,7,7,5,7,,,4,15,6
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009547,5,22,32,8,7,4,5,7,8,,,5,19,2
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009557,6,19,41,2,11,2,7,13,7,,,3,15,4
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009567,7,28,23,8,7,9,5,8,12,,,4,11,0
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009577,8,28,25,4,18,6,8,8,12,,,2,14,6
1,Oropeza,1,Sucre,2794,Sucre,116,Salon Multifuncional El Abra,1009587,9,23,10,6,12,5,6,10,9,,,5,13,4
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004337,1,51,29,6,28,4,7,13,7,,,6,13,10
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004347,2,46,26,1,34,1,7,15,4,,,6,11,6
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004357,3,47,26,3,22,3,4,14,11,,,3,8,8
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004367,4,34,38,3,29,2,6,10,10,,,4,18,14
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004377,5,36,31,3,35,2,4,10,7,,,4,15,12
