CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,LIBRE,NGP,PATRIA-UNIDOS,MTS,FRI,XS-CH,A-UPP
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004331,1,70,31,6,46,4,8,6,6
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004341,2,66,24,2,46,0,7,4,2
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004351,3,61,29,7,30,4,5,2,0
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004361,4,50,27,3,59,5,8,3,6
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004371,5,52,28,1,56,0,8,3,3
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004381,6,47,21,3,62,2,7,7,3
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004391,7,42,29,7,54,2,7,5,5
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004401,8,45,40,5,38,5,5,2,3
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004411,9,54,27,3,59,2,5,3,2
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004421,10,59,29,2,43,3,9,8,1
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004431,11,54,32,1,38,1,5,8,1
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004441,12,45,23,8,56,3,5,5,1
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004451,13,50,28,1,32,4,13,5,4
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004461,14,55,30,4,49,1,9,3,1
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004471,15,48,18,2,57,1,7,0,5
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004481,16,55,36,2,36,5,8,4,6
1,Oropeza,1,Sucre,2794,Sucre,117,Esc. San Javier,1004491,17,6,5,1,10,2,3,3,3
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003751,1,28,15,7,46,3,8,4,8
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003761,2,50,20,6,43,2,9,5,8
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003771,3,40,13,6,45,8,8,8,10
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003781,4,40,15,1,45,6,11,7,6
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003791,5,34,8,4,40,1,10,7,7
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003801,6,32,14,7,51,4,7,7,7
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003811,7,38,14,6,36,5,8,9,5
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003821,8,40,20,7,33,4,7,9,5
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003831,9,45,13,10,48,3,5,8,6
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003841,10,40,9,4,38,5,7,7,4
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003851,11,43,12,4,41,1,6,6,6
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003861,12,42,12,2,43,6,4,9,3
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003871,13,45,16,2,54,4,8,10,6
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003881,14,38,14,4,34,5,8,9,6
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003891,15,43,9,5,42,9,6,6,4
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003901,16,41,10,5,40,0,12,7,5
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003911,17,39,14,7,45,3,9,10,7
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003921,18,33,17,7,42,9,8,5,3
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003931,19,33,12,2,48,8,6,11,6
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003941,20,27,18,7,49,2,11,8,4
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003951,21,39,15,4,37,5,5,3,8
1,Oropeza,1,Sucre,2794,Sucre,123,Esc. San Juanillo,1003961,22,24,5,5,31,3,1,2,0
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001141,1,46,30,3,51,2,2,4,2
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001151,2,42,21,8,41,2,3,5,10
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001161,3,52,31,2,50,2,4,6,7
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001171,4,52,29,5,46,2,2,2,4
1,Oropeza,1,Sucre,2794,Sucre,124,Kinder Echeverria,1001181,5,13,15,5,15,2,4,2,1
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000701,1,50,40,5,45,2,2,2,1
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000711,2,42,28,5,33,2,7,6,4
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000721,3,54,31,6,40,6,6,4,4
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000731,4,59,33,12,36,5,7,5,5
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000741,5,56,31,7,31,1,5,6,3
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000751,6,54,34,4,34,2,9,6,4
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000761,7,47,27,8,29,1,4,4,3
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000771,1,38,32,7,46,1,4,5,5
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000781,2,49,21,3,51,1,6,4,6
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000791,3,43,24,3,41,3,10,5,3
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000801,4,56,30,8,29,1,5,1,4
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000811,5,19,12,2,12,1,5,0,2
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007891,1,60,18,5,36,4,5,10,4
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007901,2,62,14,3,58,2,3,4,2
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007911,3,64,18,5,30,0,6,8,7
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007921,4,55,26,1,42,1,1,12,4
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007931,5,60,13,4,44,5,12,10,5
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007941,6,47,23,5,50,7,7,7,5
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007951,7,44,25,7,47,8,9,5,4
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007961,8,39,12,3,17,6,3,4,1
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009411,1,52,19,0,61,3,12,2,8
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009421,2,40,16,6,54,2,17,10,6
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009431,3,43,21,3,51,2,5,6,4
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009441,4,51,19,4,51,6,2,4,5
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009451,5,37,13,2,30,6,12,10,6
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009461,6,48,19,3,38,9,11,4,7
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009471,7,48,16,2,44,1,6,8,6
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009481,8,44,27,6,49,3,13,6,2
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009491,9,33,8,3,43,9,4,3,6
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008041,1,31,15,4,50,4,9,6,3
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008051,2,31,9,4,47,3,8,3,3
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008061,3,32,14,1,36,2,9,4,8
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008071,4,37,21,3,45,4,8,7,2
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008081,5,27,13,3,52,5,3,5,6
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008091,6,36,15,4,37,4,4,4,3
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008101,7,34,15,1,32,6,2,4,3
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008111,8,34,14,9,46,2,6,8,4
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008121,9,23,6,3,39,3,4,4,4
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008131,10,31,15,2,39,2,4,8,8
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008141,11,23,17,6,42,5,3,8,4
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008151,12,21,9,4,53,6,5,4,4
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008161,13,19,10,4,40,4,8,5,4
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008171,14,29,15,4,53,4,11,12,2
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008181,15,31,18,4,49,2,9,3,5
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008191,16,26,16,3,40,2,6,5,7
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008201,17,27,20,8,43,3,5,6,5
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008211,18,38,18,2,30,2,5,7,6
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008221,19,22,17,3,30,2,5,4,4
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005851,1,31,11,6,50,7,9,10,6
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005861,2,52,16,2,41,4,11,2,4
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005871,3,42,15,6,46,4,2,10,3
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005881,4,30,30,7,41,2,7,11,2
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005891,5,34,17,4,38,5,7,5,3
