CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UN,UNPA,NGP,MTS,UNIDOS-,PATRIA-UNIDOS,LIBRE,SOLUCIONES-CON-TODOS,PDC,A-UPP,POKUY,FRI,APB-SUMATE,U.P.C,CREE,UNE,FAP,F-S,ARI,TU,PPS
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017267,9,,,6,4,7,5,20,5,0,11,,2,80,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017277,10,,,9,4,4,4,12,14,3,12,,2,105,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,105,Colegio Hispano Boliviano,3017287,11,,,5,4,1,2,7,7,1,9,,1,50,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000597,1,,,11,4,6,7,14,13,2,12,,1,82,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000607,2,,,12,2,4,4,13,9,2,8,,1,105,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000617,3,,,8,6,5,11,13,9,2,11,,7,93,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000627,4,,,18,4,5,7,17,8,8,11,,4,84,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000637,5,,,8,7,6,15,17,9,7,10,,1,89,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000647,6,,,13,5,2,14,22,11,2,2,,6,85,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000657,7,,,11,2,2,13,26,15,2,7,,2,69,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000667,8,,,11,2,1,12,15,16,5,12,,3,85,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000677,9,,,17,3,6,7,9,10,1,13,,5,88,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000687,10,,,15,4,4,8,12,11,1,5,,7,82,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000697,11,,,15,4,8,13,8,8,0,14,,1,93,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000707,12,,,10,2,3,8,13,3,1,12,,0,82,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000717,13,,,10,5,3,8,18,8,2,10,,3,94,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000727,14,,,11,2,12,8,14,8,0,15,,0,83,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000737,15,,,10,1,2,4,19,13,2,9,,0,109,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000747,16,,,5,6,5,8,15,9,4,15,,1,85,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000757,17,,,18,3,6,9,21,6,2,10,,1,92,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000767,18,,,10,3,4,5,18,11,2,7,,1,78,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000777,19,,,14,0,2,4,11,10,3,12,,4,93,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000787,20,,,8,4,8,4,15,15,5,11,,3,84,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000797,21,,,7,4,4,6,18,16,3,4,,1,87,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000807,22,,,16,8,7,9,16,14,3,10,,1,106,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,106,Colegio Nacional Mixto Cochabamba,3000817,23,,,4,2,3,3,16,12,0,9,,2,48,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001137,1,,,13,1,3,11,16,9,1,6,,2,79,,,,,,,,
1,Cercado,1,Cochabamba,821,Cochabamba,107,Unidad Educativa Club De Leones,3001147,2,,,12,4,1,12,15,7,5,5,,5,80,,,,,,,,
