CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PATRIA-UNIDOS,MTS,A.S.,APP,DEMOCRATAS,A-UPP,PDC,UN,CAOP,NGP,APB-SUMATE,LIBRE,CAOCH,CONACH-W,CSUTOAPCH,A-P,ASCAP,JAP,S-P,MNR,POR
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001457,1,22,12,22,5,1,3,2,3,2,10,6,0,,,,,6,9,8,13,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001467,2,18,17,23,4,2,0,3,2,2,4,7,5,,,,,1,13,11,9,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001477,3,18,16,15,4,2,2,0,5,3,10,5,13,,,,,2,7,13,10,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001487,4,26,14,22,2,1,2,1,3,5,2,7,5,,,,,4,7,12,7,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001497,5,17,13,31,3,1,1,0,5,6,10,16,6,,,,,2,9,10,9,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001507,6,21,15,31,1,0,1,2,7,0,6,5,4,,,,,10,3,7,16,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001517,7,22,19,21,0,0,2,1,4,3,7,12,6,,,,,4,12,15,14,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001527,8,26,16,23,8,1,0,0,6,1,5,6,4,,,,,2,11,5,15,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001537,9,15,12,20,2,2,1,2,3,10,13,11,6,,,,,4,5,8,8,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001547,10,16,19,20,6,1,0,0,1,1,8,7,5,,,,,2,10,11,12,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001557,11,25,20,18,1,1,0,1,1,4,3,6,9,,,,,2,8,12,8,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001567,12,20,14,23,4,0,2,3,4,6,5,5,8,,,,,3,5,7,4,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001577,13,27,16,16,5,0,1,5,7,4,2,9,7,,,,,3,9,5,6,
1,Tomás Frías,1,Potosí,1494,Potosí,17,Coleg. Luis Espinal,5001587,14,23,20,18,4,2,1,2,4,4,5,7,12,,,,,11,4,7,11,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002317,1,27,14,16,6,0,4,2,7,4,2,6,10,,,,,0,7,12,10,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002327,2,14,12,19,2,2,1,4,2,2,5,9,11,,,,,7,1,11,8,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002337,3,21,17,22,9,0,1,2,3,2,7,15,6,,,,,3,1,15,7,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002347,4,17,4,21,3,1,0,3,2,5,4,15,5,,,,,4,7,8,10,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002357,5,18,13,19,1,3,1,0,2,4,8,13,9,,,,,2,8,17,9,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002367,6,19,13,16,6,4,1,5,10,0,7,13,5,,,,,1,6,12,12,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002377,7,13,15,36,5,0,2,1,2,3,13,10,8,,,,,3,7,11,11,
1,Tomás Frías,1,Potosí,1494,Potosí,18,Esc. Jose A.Zampa,5002387,8,1,7,6,1,0,1,0,0,1,2,0,1,,,,,0,1,4,2,
