CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AORA,MTS,JACHAJAKISASOLFESORC,PDC,A-UPP,NGP,LIBRE,SOMOS,JACHA MARKA T.C.A.,PATRIA-ORURO,P.P.,S.A.M. CHALLAPATA,APB-SUMATE,SUMA,UQ,IOTAYAQUIRAMD,FRI,LEAL,UN,MCSFA
1,Cercado,1,Oruro,2059,Oruro,90,U. Esc. Francisco Fajardo,4006707,11,2,1,22,1,6,12,4,19,,10,1,,0,,,,1,0,6,9
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006717,1,3,1,38,0,6,22,16,33,,11,4,,1,,,,2,6,3,9
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006727,2,4,11,22,1,8,25,10,20,,14,2,,3,,,,2,6,7,12
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006737,3,2,6,20,3,3,28,9,15,,19,3,,0,,,,2,5,10,19
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006747,4,2,5,30,3,4,21,20,20,,15,2,,1,,,,2,2,5,10
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006757,5,2,6,16,0,8,29,17,14,,16,1,,1,,,,1,7,9,5
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006767,6,4,3,34,0,9,15,12,27,,14,3,,1,,,,0,3,12,19
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006777,7,5,5,17,1,4,21,15,25,,20,1,,2,,,,1,9,6,17
1,Cercado,1,Oruro,2059,Oruro,91,U. Esc. Melvin Jones,4006787,8,3,4,11,0,1,13,7,6,,8,1,,1,,,,0,3,6,6
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002587,1,4,8,29,2,4,25,13,19,,11,4,,0,,,,0,6,4,9
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002597,2,3,7,23,4,5,17,16,22,,12,3,,1,,,,1,5,7,9
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002607,3,2,7,25,0,2,24,17,17,,4,2,,0,,,,1,9,13,13
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002617,4,2,6,35,1,12,28,12,31,,11,3,,3,,,,1,4,2,10
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002627,5,5,9,33,0,7,26,19,24,,12,5,,1,,,,1,5,1,7
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002637,6,4,10,28,3,5,30,15,19,,6,2,,0,,,,2,5,2,12
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002647,7,6,2,25,3,4,40,11,19,,7,4,,1,,,,3,5,4,10
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002657,8,6,7,27,2,6,34,15,21,,13,4,,1,,,,1,3,11,6
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002667,9,2,3,23,1,5,32,20,17,,5,2,,0,,,,2,4,3,9
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002677,10,9,7,21,0,9,33,11,11,,8,1,,3,,,,0,4,3,11
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002687,11,4,11,15,2,7,42,14,12,,10,0,,1,,,,1,2,2,9
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002697,12,0,7,28,1,5,36,21,25,,13,4,,3,,,,2,3,2,4
1,Cercado,1,Oruro,2059,Oruro,92,U. E. Ejercito Nacional,4002707,13,1,6,6,0,3,11,5,4,,1,0,,0,,,,0,1,3,4
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002717,1,10,5,9,2,9,17,2,5,,9,0,,2,,,,4,6,7,3
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002727,2,26,5,13,2,12,6,3,3,,8,0,,1,,,,2,4,2,2
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002737,3,13,1,15,3,3,13,6,3,,7,0,,4,,,,7,4,4,2
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002747,4,5,1,3,2,3,2,5,1,,0,0,,0,,,,2,3,2,0
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002757,1,6,4,27,1,7,25,12,30,,10,1,,0,,,,0,4,4,13
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002767,2,4,5,20,1,3,22,15,19,,5,4,,0,,,,1,13,8,11
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002777,3,5,4,31,0,6,24,15,30,,7,2,,0,,,,0,2,8,9
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002787,4,4,6,29,1,8,21,6,24,,6,5,,0,,,,1,2,3,3
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002797,5,11,7,32,3,4,18,9,24,,11,0,,0,,,,2,3,2,9
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002807,6,2,9,18,7,6,33,14,20,,14,1,,0,,,,0,8,5,12
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002817,7,6,4,23,1,11,32,15,17,,12,0,,0,,,,4,3,9,10
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002827,8,3,7,21,1,5,33,9,26,,12,1,,0,,,,1,6,1,12
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002837,9,3,9,18,2,9,33,17,23,,11,1,,0,,,,2,9,5,8
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002847,10,2,8,25,3,6,24,8,18,,6,1,,0,,,,3,3,6,12
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002857,11,7,7,31,1,4,28,12,16,,13,0,,0,,,,2,6,10,10
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002867,12,3,8,22,5,2,27,11,28,,7,0,,0,,,,1,4,16,7
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002877,13,1,7,9,4,3,40,10,28,,10,2,,0,,,,1,3,6,11
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002887,14,5,15,23,4,3,19,13,15,,11,1,,0,,,,2,9,10,15
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002897,15,4,8,29,3,3,29,8,13,,23,1,,0,,,,2,6,4,11
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002907,16,3,7,19,4,6,25,11,26,,16,1,,0,,,,1,6,9,11
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002917,17,4,2,7,1,2,7,6,5,,1,0,,0,,,,0,1,4,2
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001837,1,5,9,25,1,5,27,5,18,,10,1,,1,,,,3,6,3,12
1,Cercado,1,Oruro,2059,Oruro,95,U. E. Juan Velez de Cordoba (Inca Pozo).,4001847,2,5,6,16,3,8,32,5,29,,8,4,,2,,,,1,5,3,7
