CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,PDC,VENCEREMOS,JALLALLA LP,IH,PATRIA-SOL,MTS,FRI,SPBC,ASLP,APB-SUMATE,M.P.S.,A-UPP,UPC,ASP,VIDA,LIBRE,NGP
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013031,1,1,11,3,32,38,16,0,3,12,5,4,7,6,0,15,4,12
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013041,2,4,21,5,26,33,18,3,5,8,10,2,4,6,2,17,3,12
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013051,3,2,16,2,25,32,23,0,2,8,2,4,4,6,3,14,6,13
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013061,4,5,8,4,36,38,14,1,8,13,12,3,2,7,2,14,7,10
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013071,5,5,13,6,19,23,11,4,2,16,3,2,4,15,2,15,8,26
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013081,6,3,17,11,22,21,17,0,5,12,7,5,6,12,2,10,5,12
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013091,7,7,10,4,19,38,9,4,5,12,4,1,7,6,4,10,9,16
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013101,8,7,6,6,18,19,24,7,3,10,6,5,1,10,2,23,12,13
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013111,9,4,14,3,22,37,18,1,4,9,4,1,4,9,3,5,5,12
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013121,10,4,16,5,26,44,12,2,9,8,7,5,2,7,2,13,5,11
1,Murillo,1,Nuestra Señora de La Paz,729,Nuestra Señora de La Paz,105,U. E. 10 de Junio,2013131,11,3,5,2,20,24,7,0,2,5,2,0,0,1,1,2,4,6
